,Income_Category
10126,Less than $40K
7210,Less than $40K
7211,Less than $40K
7212,Less than $40K
3526,Less than $40K
3522,Less than $40K
7217,Less than $40K
3531,Less than $40K
7219,Less than $40K
7220,Less than $40K
3514,Less than $40K
3513,Less than $40K
7222,Less than $40K
3507,Less than $40K
7224,Less than $40K
3518,Less than $40K
3504,Less than $40K
7209,Less than $40K
7203,Less than $40K
3562,Less than $40K
7188,Less than $40K
7189,Less than $40K
7191,Less than $40K
7192,Less than $40K
3551,Less than $40K
7204,Less than $40K
3550,Less than $40K
3547,Less than $40K
7200,Less than $40K
3543,Less than $40K
3539,Less than $40K
3537,Less than $40K
3536,Less than $40K
3549,Less than $40K
7186,Less than $40K
7225,Less than $40K
3501,Less than $40K
7258,Less than $40K
3473,Less than $40K
3471,Less than $40K
7261,Less than $40K
7262,Less than $40K
7265,Less than $40K
7257,Less than $40K
7266,Less than $40K
3461,Less than $40K
3460,Less than $40K
7273,Less than $40K
7274,Less than $40K
7276,Less than $40K
3454,Less than $40K
3464,Less than $40K
7227,Less than $40K
3476,Less than $40K
7254,Less than $40K
7228,Less than $40K
3498,Less than $40K
7238,Less than $40K
7242,Less than $40K
3490,Less than $40K
7248,Less than $40K
7256,Less than $40K
7249,Less than $40K
7252,Less than $40K
7253,Less than $40K
3484,Less than $40K
3482,Less than $40K
3481,Less than $40K
3480,Less than $40K
3487,Less than $40K
7277,Less than $40K
3567,Less than $40K
7181,Less than $40K
3648,Less than $40K
3647,Less than $40K
7132,Less than $40K
3644,Less than $40K
7135,Less than $40K
7137,Less than $40K
3650,Less than $40K
3638,Less than $40K
3635,Less than $40K
3634,Less than $40K
7147,Less than $40K
3627,Less than $40K
3626,Less than $40K
3625,Less than $40K
7140,Less than $40K
3624,Less than $40K
7130,Less than $40K
7126,Less than $40K
3677,Less than $40K
7112,Less than $40K
7115,Less than $40K
7116,Less than $40K
7117,Less than $40K
3667,Less than $40K
7128,Less than $40K
7118,Less than $40K
3662,Less than $40K
7121,Less than $40K
3660,Less than $40K
7122,Less than $40K
7123,Less than $40K
7124,Less than $40K
3664,Less than $40K
7184,Less than $40K
7149,Less than $40K
7151,Less than $40K
7170,Less than $40K
7171,Less than $40K
7172,Less than $40K
3587,Less than $40K
3585,Less than $40K
3584,Less than $40K
3592,Less than $40K
3581,Less than $40K
3576,Less than $40K
3575,Less than $40K
3574,Less than $40K
7179,Less than $40K
3571,Less than $40K
7180,Less than $40K
3579,Less than $40K
7150,Less than $40K
7169,Less than $40K
7163,Less than $40K
3619,Less than $40K
3618,Less than $40K
7152,Less than $40K
3616,Less than $40K
3615,Less than $40K
7153,Less than $40K
7164,Less than $40K
3613,Less than $40K
7157,Less than $40K
7159,Less than $40K
7160,Less than $40K
3603,Less than $40K
7161,Less than $40K
3597,Less than $40K
3608,Less than $40K
7278,Less than $40K
3451,Less than $40K
3450,Less than $40K
7376,Less than $40K
7377,Less than $40K
3293,Less than $40K
7379,Less than $40K
3291,Less than $40K
3289,Less than $40K
3297,Less than $40K
3286,Less than $40K
7382,Less than $40K
3281,Less than $40K
7384,Less than $40K
3278,Less than $40K
3277,Less than $40K
7385,Less than $40K
3285,Less than $40K
3275,Less than $40K
3299,Less than $40K
7375,Less than $40K
7347,Less than $40K
7352,Less than $40K
7353,Less than $40K
7357,Less than $40K
7360,Less than $40K
7362,Less than $40K
3300,Less than $40K
3313,Less than $40K
7365,Less than $40K
7368,Less than $40K
7371,Less than $40K
7372,Less than $40K
3303,Less than $40K
7374,Less than $40K
3312,Less than $40K
7346,Less than $40K
7386,Less than $40K
3272,Less than $40K
3242,Less than $40K
7414,Less than $40K
3239,Less than $40K
7415,Less than $40K
7416,Less than $40K
7417,Less than $40K
7412,Less than $40K
3233,Less than $40K
3229,Less than $40K
7425,Less than $40K
7426,Less than $40K
7427,Less than $40K
7434,Less than $40K
7435,Less than $40K
7419,Less than $40K
7387,Less than $40K
